Date,Symbol,Close,High,Low,Open,Volume,RSI,PROC,SO,WR,OBV,EWMA,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
2020-02-26,AAPL,70.92701721191406,72.19456919203475,69.43649702723432,69.44376756876824,198054800.0,40.359836599908185,-0.0717592786000774,100.0,-90.22658433423756,1314442200.0,70.98740207166583,4.366506001728823,1.0,1.0,1.0,1.0
2020-02-27,AAPL,66.29063415527344,69.31530465753468,66.15491247212168,68.12773623181833,320605600.0,39.49159816234471,-0.020284167276925,85.62795465926736,10.925385544557397,1466816000.0,67.85622346073757,4.557513352135032,1.0,1.0,1.0,1.0
2020-02-28,AAPL,66.2518539428711,67.4757824380709,62.134139530313654,62.34984454807426,426510000.0,46.09363063842837,0.0625908585013665,30.61003590734091,-18.821215145897877,1525440300.0,66.78664378215991,7.874451488674055,1.0,1.0,1.0,1.0
2020-03-02,AAPL,72.4199447631836,73.0573558601896,67.30854828272852,68.41371468951469,341397200.0,56.5105927492151,0.0353167369301331,17.047330556607346,-32.425320987229355,1426095600.0,70.54217776950902,9.3411546398615,-1.0,1.0,-1.0,1.0
2020-03-03,AAPL,70.11994171142578,73.6778022281249,69.26682558358837,73.59782628927844,319475600.0,61.80115638057319,-0.0125321541835256,29.71526751610115,-76.95737028466279,1155373400.0,70.26068706412019,4.935703555209102,1.0,1.0,1.0,1.0
2020-03-04,AAPL,73.3724136352539,73.53237288497041,71.04332648790448,71.84554131856758,219178400.0,36.520332797084095,-0.124919466625017,100.0,-68.7878555865572,1171419700.0,72.335171444876,-1.6121501783690633,-1.0,1.0,-1.0,1.0
2020-03-05,AAPL,70.99243927001953,72.59928766176252,70.62647152568951,71.62257241363193,187572800.0,54.55073198381398,0.0251316302767368,70.2728933197719,17.391175735019267,1306341900.0,71.44001666163835,7.630264032388709,-1.0,1.0,-1.0,1.0
2020-03-06,AAPL,70.04967498779297,70.48350371604513,68.1592601100507,68.34587561840515,226176800.0,56.3817657559569,0.0383810878408419,57.476925680326744,-2.5672152494148963,1104517800.0,70.5131222124081,7.656667195783186,1.0,1.0,1.0,1.0
2020-03-09,AAPL,64.50928497314453,67.3982263851532,63.74099670150595,63.92276760464713,286744800.0,69.75280329614422,0.0806515136978585,0.0,-14.167142796116918,1045616400.0,66.51056405289906,5.254069504685489,-1.0,1.0,-1.0,1.0
2020-03-10,AAPL,69.15533447265625,69.42193323548972,65.28482634158217,67.16797734192903,285290000.0,50.40310397373809,0.0234698446229344,38.29449525042864,-57.51916440525472,1324132000.0,68.27374433273718,6.392525585560435,1.0,1.0,1.0,1.0
2020-03-11,AAPL,66.7535400390625,68.15681338440555,65.88830882534532,67.22857329146201,255598800.0,51.87556625599082,0.0286782792720377,69.88104125129114,-8.992108677065849,1470348400.0,67.26027480362073,10.447744972099455,1.0,1.0,1.0,1.0
2020-03-12,AAPL,60.161319732666016,65.43752410022596,60.1055776920594,62.02992621470894,418474000.0,59.29142554212601,0.0696530940161311,0.0,-18.70861123902613,1352672600.0,62.52763808965093,7.996349673579886,1.0,1.0,1.0,1.0
2020-03-13,AAPL,67.36914825439453,67.84175558934598,61.30526952735632,64.19906676832508,370732000.0,64.12098466906441,0.044898961181684,13.58389146449246,-29.479610035284892,1434777600.0,65.75531153281334,13.7586994922478,1.0,1.0,1.0,1.0
2020-03-16,AAPL,58.70230865478515,62.79093727126344,58.166688768527365,58.63929237514396,322423600.0,68.52700080447678,0.0843382054724319,17.438134963764316,46.31968845027961,1573827700.0,61.05330961412787,19.7063978216579,-1.0,1.0,-1.0,1.0
2020-03-17,AAPL,61.28345489501953,62.43466692909921,57.77891021775957,59.98682095947624,324056000.0,54.90197018095434,-0.0100093199985003,12.163484593881218,-56.63003091750524,1177534000.0,61.20673980138898,11.109357381536768,1.0,1.0,1.0,1.0
2020-03-18,AAPL,59.78323745727539,60.59030070646208,57.46868723066085,58.11094663703243,300233600.0,55.557644860026095,-0.0075067431465186,52.32909288777133,-78.1962242154969,1288571600.0,60.25773823864659,14.764628647958602,-1.0,-1.0,1.0,-1.0
2020-03-19,AAPL,59.32517623901367,61.27860698512917,58.79925286107015,59.95773914025238,271857200.0,54.55331891682653,0.0235565611304341,100.0,-23.73601121299864,1401979000.0,59.636030238891315,20.068474743482,1.0,-1.0,1.0,-1.0
2020-03-20,AAPL,55.558876037597656,61.03381398975225,55.25834685495158,59.90683232843295,401693200.0,52.47276001231166,0.0471281942680077,23.595284555782676,-6.866461654428259,1488975800.0,56.91792743802888,19.75343198402491,-1.0,-1.0,-1.0,-1.0
2020-03-23,AAPL,54.37858963012695,55.37954272359019,51.52842281078119,55.27775144769988,336752800.0,47.13422174145254,0.0657819497831678,11.048789430234244,-57.55284907288024,1495299400.0,55.225035566094256,19.516422671833453,-1.0,-1.0,-1.0,-1.0
2020-03-24,AAPL,59.83414077758789,60.03045277933711,56.785236104652014,57.284499639505285,287531200.0,49.71360157668743,-0.0268790911608318,63.482114301436134,-67.56901702329128,1276802000.0,58.29777237375668,16.979166167259194,1.0,-1.0,-1.0,-1.0
2020-03-25,AAPL,59.5045166015625,62.5897733176163,59.208835672807325,60.77206450877943,303602000.0,51.22283686757179,-0.0143679019282218,27.46704666904168,-100.0,1149264400.0,59.10226852562723,11.310691706141968,-1.0,-1.0,-1.0,-1.0
2020-03-26,AAPL,62.63582229614258,62.693986610997555,59.70809887531277,59.74687755064144,252087200.0,11.159540954238906,-0.1133371028541272,99.05748719827842,-100.0,792396000.0,61.457971039304134,2.369435872954412,1.0,1.0,1.0,1.0
2020-03-27,AAPL,60.04256820678711,62.012962352654554,59.875338378207296,61.25679655191656,204216800.0,48.16114191838196,-0.1030507545689496,100.0,-100.0,669088300.0,60.51436915095945,1.9960969098840593,-1.0,1.0,-1.0,1.0
2020-03-30,AAPL,61.75605010986328,61.92812817045758,60.444875271933526,60.76964205543981,167976400.0,57.40141150868465,-0.0394444669289649,84.33946988149368,-51.0062276455537,547215600.0,61.34215645689534,1.0854502075558798,1.0,1.0,1.0,1.0
